Index,Clue,Solution,Predicted_Type,Annotation_Type,Notes,gemini_predicted
34,Children's game gets you and me in river (5),tagus,unknown,Assemblage,tag (children's game) + us (you and me),assemblage
35,Part of the way open is to nearest South Yorkshire town (9),penistone,unknown,Hidden Word,"penistone hidden in ""open is to nearest""",hidden word
36,Posted under protective cover (6),mailed,assemblage,Double Definition,"posted (mail something), under protective cover (like chain mail)",double definition
37,"Breakfast food made greasy, filling tramp after release of gas (6,3)",boiled egg,anagram,Container,oiled (made greasy) inside of begg (beg meaning tramp + g for gas),container
38,Get control of silly mid-on before tea break (8),dominate,anagram,Anagram,anagram of mid-on + anagram of tea,anagram
39,"The ref stared furiously, collaring United's sweeper (7,6)",feather duster,unknown,Anagram,"anagram of ""the ref stared"" containing u (United)",anagram
40,One with rigid behind (6),astern,unknown,Assemblage,a (one) + stern (rigid),assemblage
41,Layers start out with one (6),strata,anagram,Anagram,anagram of start + a (one),assemblage
42,Boast of seating quite near the stage? (4),crow,unknown,Double Definition,"boast (synonym), seating near the stage (row C)",assemblage
43,"Immediately beyond control (3,2,4)",out of hand,unknown,Double Definition,"immediately, beyond control",double definition
44,Island keys in storm (4),skye,unknown,Anagram,anagram of keys,anagram
45,"One article of faith about what Jesus implied? (1,2,3)",i am god,anagram,Assemblage,i (one) + am (article) + god (faith),anagram
46,Directions sailor needed to clean deck (4),swab,unknown,Assemblage,SW (south and west directions) + ab (able-bodied seaman),assemblage
47,Buoyant whale riding in front (6),upbeat,unknown,Assemblage,up (riding)  + beat (whale),assemblage
48,Scott's reserve in reduced game (10),slimbridge,unknown,Assemblage,slim (reduced) + bridge (card game),assemblage
49,"Sillier nut who improvised as radio wit (6,7)",willie rushton,unknown,Anagram,"anagram for ""sillier nut who""",anagram
50,Exhausted couple boarding old vessel (7),outworn,container,Container,o + urn (abbr of old + vessel) containing two (couple),container
51,Unspecified - a city west of this place (8),anywhere,unknown,Assemblage,a + ny (city) + w (west) + here (this place),assemblage
52,Signs liable to be kicked over (6),traces,unknown,Double Definition,"signs (synonym), liable to be kicked over (idiom about kicking over traces)",double definition
53,It tightens a nut in a cleaning machine (6),washer,unknown,Double Definition,"it tightens a nut, a cleaning machine",double definition
54,Actual place for further distribution (12),reallocation,unknown,Assemblage,real (actual) + location (place),assemblage
55,Minor secretary kept goal during depression (9),dependant,unknown,Container,"pa (personal assistant/secretary) containing end (goal), all contained by dent (depression)",container
56,Chief island's headgear (5),topis,unknown,Assemblage,top (chief) + is (island abbr),assemblage
57,Separate urinals out of order (7),insular,anagram,Anagram,anagram for urinals,anagram
58,Sixties' scooter rider claiming one dropped trousers (6),mooned,unknown,Container,"mod (sixties scooter rider apparently) containing ""one""",container
59,Fortieth game to one side (4),ruby,unknown,Assemblage,"ru (rugby union, meaning game) + by (to one side)",assemblage
60,"New, rash and mostly wayward English bowler (5,5)",shane warne,anagram,Anagram,"anagram of ""new, rash, an"" (minus d from and) + e (english)",anagram
61,Opening fortnightly shows up (5),intro,unknown,Hidden Word,ortni (intro backwards) is contained in fortnightly,hidden word
62,"Flirted, perhaps (7)",trifled,anagram,Anagram,nan,anagram
63,Dams found between Kirkcaldy and Keswick (5),dykes,container,Hidden Word,end of Kirkcaldy + start of Keswick,assemblage
64,An area of sacred ground (4),acre,anagram,Hidden Word,hidden in sacred,hidden word
193,Encouraging word for Charlie's predecessor (5),bravo,placeholder,Double Definition,"BRAVO - double definition, the second referring to the letter names used in, e.g., the NATO phonetic alphabet (Alfa/Alpha, Bravo, Charlie, etc)",double definition
194,Trifling child (5),minor,placeholder,Double Definition,MINOR - Double definition.,double definition
195,Stand for show again? (9),prepresent,placeholder,Double Definition,"REPRESENT - Double definition, the second one semi-jocular.",double definition
196,Trade show open (4),fair,placeholder,Double Definition,"FAIR - Two meanings, the second as in 'open and honest'",double definition
197,One not allowing large headline (6),banner,placeholder,Double Definition,BANNER: double definition.,double definition
198,The French dine from feeding trough (6),manger,placeholder,Double Definition,"MANGER - two definitions, one not really an English definition as such so I’ll consider it wordplay.",double definition
199,"Don’t have to leave (2,7)",go without,placeholder,Double Definition,"GO WITHOUT - I’m not sure about the second part of this clue. Is it synonymous with ‘go outside’, i.e. ‘depart’ or is it referring to ‘leaving’ something on your plate, for instance? The latter makes a bit more sense to me but it’s exactly the same meaning as the first half of the clue. I suppose that’s allowed!",assemblage
200,In which to wash pot (4),sink,placeholder,Double Definition,SINK - DD. The second definition is a billiards reference.,double definition
201,Provisional licence obtained? (9),qualified,placeholder,Double Definition,"QUALIFIED - two definitions, one slightly oblique.",double definition
202,English architect and landscape gardener known in Scotland (4),kent,placeholder,Double Definition,"KENT - double definition, a fellow I had never heard of, but easily gettable.",double definition
203,Scotland’s own Foreign Department (3),ain,placeholder,Double Definition,"AIN - dd, the first the Scottish word for ""own"", the second a department in eastern France. There didn't seem to be any likelier option for A?N but I can't say that either of these meanings emerged from my memory with any great sense of familiarity.",double definition
204,Make altogether disgusting (5),gross,placeholder,Double Definition,GROSS - dd,double definition
205,"Prepare vegetables and quickly see to baby (3,3,4)",top and tail,placeholder,Double Definition,"TOP AND TAIL - dd, though I didn't know the second meaning, which is (Chambers): ""To wash (a baby's) face and buttocks""",double definition
206,Traditional accompaniments that are cut off (9),trimmings,placeholder,Double Definition,TRIMMINGS - dd,double definition
207,Boat that leads the way for others? (7),lighter,placeholder,Double Definition,"LIGHTER - one of Chambers' definitions for light is: ""(transitive verb) To follow or precede (someone, or his or her path) with a light"", so a person leading the way could perhaps be called a lighter",double definition
208,Man I have heard on the radio (5),roger,placeholder,Double Definition,"ROGER - dd, the second referring to (Chambers): ""A word used in signalling and radio-communication for R, in the sense of received (and understood)""",double definition
209,Mischievous goddess had some food (3),ate,placeholder,Double Definition,ATE - double definition. Ate is the Greek goddess of mischief and ruin.,double definition
210,Trade vehicles (7),traffic,placeholder,Double Definition,TRAFFIC - Nice straightforward DD,double definition
211,"For example, one / sort of anaesthetic (6)",number,placeholder,Double Definition,NUMBER - Two definitions of sorts,double definition
212,"Maybe Tom from Warrington, one with a lingering happy expression (8,3)",cheshire cat,placeholder,Double Definition,"CHESHIRE CAT - DD, the first being a pleasant cryptic (Tom cat and Warrington being a town in Cheshire)",double definition
213,Safe place to jump (5),vault,placeholder,Double Definition,VAULT - Straightforward DD,double definition
214,Warm and moist — like some marine life? (6),clammy,placeholder,Double Definition,"another double definition, the second one a touch whimsical.",double definition
215,Thriving source of water (4),well,placeholder,Double Definition, and still another double definition.,double definition
216,Under emotional pressure in past? (5),tense,placeholder,Double Definition,"double definition, where the DBE of the literal is again indicated by a question mark.",double definition
217,Attack and steal from boy (3),rob,placeholder,Double Definition,nan,double definition
218,Heavy trampolinist? (7),bouncer,placeholder,Double Definition," double definition, a heavy = a guard, etc. Nice!",double definition
219,Widespread and rank (7),general,placeholder,Double Definition,Double definition,double definition
220,Behave like a twister in a gale (4),wind,placeholder,Double Definition,"Double definition, first a verb and then a noun.",double definition
221,Legendary marksman’s order (4),tell,placeholder,Double Definition,"double definition, the first referring to the Swiss folk hero William/Wilhelm/Guillaume/Guglielmo/Guglielm Tell",double definition
222,"Walked in shallow water, or rowed in boat (7)",paddled,placeholder,Double Definition,nan,double definition
223,Serving monarch in the resistance? (4),ohms,placeholder,Double Definition,nan,container
224,Scottish style nationalist party (5),plaid,placeholder,Double Definition,nan,double definition
225,Adequate light (4),fair,placeholder,Double Definition,simple double definition.,double definition
226,A little more tummy exposed then? (3-2),top-up,placeholder,Double Definition,"Double definition, one humorous.",double definition
227,Sprite seen in hotel foyer (3),elf,placeholder,Hidden Word,ELF - hidden (seen) in hotEL Foyer,hidden word
228,Error concealed by city police (4),typo,placeholder,Hidden Word,hidden word in “ciTY POlice”,hidden word
229,"In Berlin, dainty girl (5)",linda,placeholder,Hidden Word,"hidden word in “BerLIN, DAinty”",hidden word
230,Singer in first ENO Rigoletto (5),tenor,placeholder,Hidden Word,hidden word in “firsT ENO Rigoletto”,hidden word
231,Section of Norman arch is thrown into disorder? (9),anarchist,placeholder,Hidden Word,hidden word in “NormAN ARCH IS Thrown”,hidden word
232,Soft cases used by opera violinists (7),ravioli,placeholder,Hidden Word,hidden word in “opeRA VIOLInists”,hidden word
233,Letters from schoolmaster never enforcing discipline (5),stern,placeholder,Hidden Word,STERN - hidden in [schoolma]STER N[ever].,hidden word
234,Lowest emotional point of commemoration: a dirge (5),nadir,placeholder,Hidden Word,NADIR - Hidden in [of] {commemoratio}N A DIR{ge},hidden word
235,Only partially sanguine about money (6),guinea,placeholder,Hidden Word,GUINEA: hidden answer.,hidden word
236,Timmy Thompson’s secret fantasy (4),myth,placeholder,Hidden Word,MYTH - contained in ‘Timmy Thompson’. I guess it’s ‘secret’ in the sense that it’s hidden inside.,hidden word
237,"In getting up fast, I remedy fault (7)",demerit,placeholder,Hidden Word,DEMERIT - hidden reversed in fasT I REMEDy,anagram
238,Compound kept by some Westerners (5),ester,placeholder,Hidden Word,"ESTER - Hidden (indicated by ""kept by some"") in wESTERners, giving a type of chemical compound",hidden word
239,Some prefer a lion that's untamed (5),feral,placeholder,Hidden Word,"FERAL - Hidden (indicated by ""some"") in preFER A Lion",hidden word
240,City offering what’s collected in box for down-and-outs (6),oxford,placeholder,Hidden Word,OXFORD – Hidden in {b}OX FOR D{own-and-outs},double definition
241,Weapons found in farmstead (4),arms,placeholder,Hidden Word,ARMS - Hidden in {f}ARMS{tead},hidden word
242,Quieter part of distillery (7),stiller,placeholder,Hidden Word,STILLER - Hidden in [part of] {di}STILLER{y},double definition
243,Movable chair some used anywhere (5),sedan,placeholder,Hidden Word,SEDAN - hidden in (some) uSED ANywhere.,hidden word
244,"Change designation of item, an error partly reversed (6)",rename,placeholder,Hidden Word,RENAME - Hidden reverse (indicated by partly and reversed respectively) in itEM AN ERror,hidden word
245,This country is in ruin — am I biased? (7),namibia,placeholder,Hidden Word,NAMIBIA - The African nation is indeed 'in' ruiN AM I BIAsed,anagram
246,Come gallantly holding final letter (5),omega,placeholder,Hidden Word,OMEGA - Hidden in (indicated by 'holding') cOME GAllantly,hidden word
247,Guy from Egypt he obliges (4),theo,placeholder,Hidden Word,THEO - hidden word: EgypT HE Obliges.,hidden word
248,Material in patch in overalls (5),chino,placeholder,Hidden Word,hidden in {pat}CH IN O{veralls},hidden word
249,Design on cent’s piece coined for particular occasion (5),nonce,placeholder,Hidden Word,"hidden in [desig]N ON CE[nt], just biffed by me.",hidden word
250,"Man, say, in Paisley (4)",isle,placeholder,Hidden Word,hidden in (in) paISLEy.,hidden word
251,Short word some feel bally son omitted to send back (12),monosyllable,placeholder,Hidden Word,hidden in (some) a reversal of (to send back) feEL BALLY SON OMitted.,hidden word
252,Ate some shortbread in Edinburgh (5),dined,placeholder,Hidden Word,Hidden in (some) shortbreaD IN EDinburgh,hidden word
253,Mop of hair caught up in extractor fan (4),afro,placeholder,Hidden Word,Reverse hidden (caught up)  in extractOR FAn,hidden word
254,"Record kept by Crusoe, divided up (5)",video,placeholder,Hidden Word,Reversed hidden in CRUS(OE DIV)IDED.,hidden word
255,Some discontent on gallant island nation (5),tonga,placeholder,Hidden Word,"Hidden in ""some"" of the letters of discontenT ON GAllant",hidden word
256,American entering Malayan kingdom (4),yank,placeholder,Hidden Word,hidden,hidden word
257,Biblical character appearing in thesaurus (4),esau,placeholder,Hidden Word,Hidden (appearing) in thESAUrus,hidden word
258,Some celeb at home somewhere in Somerset (4),bath,placeholder,Hidden Word,Hidden (some) in {cele}B AT H{ome},hidden word
259,Female occupying barn or mansion (5),norma,placeholder,Hidden Word,hidden in (occupying) barN OR MAnsion,hidden word
260,Saga inevitably reduced in length once more (5),again,placeholder,Hidden Word,Hidden [reduced in length] in {s}AGA IN{evitably},hidden word
261,Group captured by Philoctetes (5),octet,placeholder,Hidden Word,nan,hidden word
262,Bones served up in mean lunch (5),ulnae,placeholder,Hidden Word,backwards yhidden in [m]ANE LU[nch].,hidden word
263,Something put in Christmas pudding is poisonous (3),asp,placeholder,Hidden Word, Hidden - signalled by 'put in' - ChristmAS Pudding,hidden word
264,Extract of gum: a mild taste (5),umami,placeholder,Hidden Word,"hidden in gUM A MIld, to give (Chambers): ""A savoury, satisfying taste, like that of monosodium glutamate""",hidden word
265,Fur stole covered up boxes (6),ocelot,placeholder,Hidden Word,hidden reversal in sTOLE COvered,anagram
266,Deepest point in Mahanadi river (5),nadir,placeholder,Hidden Word,Hidden in {Maha}NADI R{iver},hidden word
267,Hunts persistently? (7),forages,placeholder,Double Definition,FOR AGES,double definition
268,"Be careful with cat that’s gone wild (5,2)",watch it,placeholder,Anagram,(WITH CAT)*,anagram
269,"Treatment centre hosted by Pamela Anderson (1,3,1)",a and e,placeholder,Hidden Word,Hidden in pamelA ANDErson,hidden word
270,"Crete: nice, surprisingly – that’s not saying much (9)",reticence,placeholder,Anagram,(CRETE NICE)*,anagram
271,Literary set gets flowers put in the ground (10),bloomsbury,placeholder,Assemblage,BLOOMS (flowers) + BURY – a reference to the Bloomsbury Group,assemblage
272,Wolf down sandwich with duck filling (4),bolt,placeholder,Container,"O (zero, a duck) in BLT (a Bacon, Lettuce and Tomato sandwich)",container
273,Engineer restores path; it’s very high above us (12),stratosphere,placeholder,Anagram,(RESTORES PATH)*,anagram
274,It’s more obvious having race later is nonsense (10),balderdash,placeholder,Assemblage,BALDER (more obvious) + DASH (race),assemblage
275,"Keep in touch, having stabled horse (5)",pinto,placeholder,Hidden Word,Hidden in keeP IN TOuch,assemblage
276,Pure quality of German city church (7),essence,placeholder,Assemblage,ESSEN (German city) + CE (Church of England),assemblage
277,Inject vitamins into skin that’s loose (6),flabby,placeholder,Container,B B (vitamins) in FLAY (to skin),container
278,Published party minute – that’s irregular (6),random,placeholder,Assemblage,"RAN (published, e.g. as a newspaper story) + DO (party) + M",assemblage
279,Stand-in accepts credit for clean-up (5),scrub,placeholder,Container,CR in SUB[stitute],container
280,Afghan governor hides suffering in the morning? (8),hangover,placeholder,Hidden Word,Hidden in afgHAN GOVERnor,container
281,Scores left during games (8),twenties,placeholder,Container,WENT (left) in TIES (games),double definition
282,Bananas perhaps too often what’s misplaced by grocers? (10),apostrophe,placeholder,Anagram,"(PERHAPS TOO)*, the definition referring to the Grocers’ (or more often Greengrocers’) Apostrophe",anagram
283,"Final word, effective and quite open (8)",amenable,placeholder,Assemblage,AMEN (final word of a prayer) + ABLE (effective),assemblage
284,Vicar delving into religious sins of the past (8),previous,placeholder,Container,REV (vicar) in PIOUS,container
285,Open fire! (6),launch,placeholder,Double Definition,"Double definition, though the two are closely related",double definition
286,Violent gangster endlessly engages in evil? It’s almost guaranteed (4-2),shoo-in,placeholder,Container,HOO[d] in SIN,container
287,"Dead, for example, like this old artist (5)",degas,placeholder,Assemblage,D[ead] + E.G. + AS (like),assemblage
288,Stitched up in every direction (4),sewn,placeholder,Double Definition,The word SEWN contains the four cardinal points of the compass,anagram
289,Marks floral parts (8),stigmata,placeholder,Double Definition,Double definition; the Greek-style plural is unusual for the floral stigma.,double definition
290,"Of course their guns misfired (4,5)",sure thing,placeholder,Anagram,An anagram (‘misfired’) of ‘their guns’.,anagram
291,Precise demand (5),exact,placeholder,Double Definition,nan,double definition
292,This erupts frequently in Vietnam (4),etna,placeholder,Hidden Word,A hidden answer (‘in’) in ‘ViETNAm’.,hidden word
293,Recovery vehicles? Some have clocks (6),towers,placeholder,Double Definition,"vehicles that tow, clock towers",double definition
294,Affected as minutes may be (8),precious,placeholder,Double Definition,"affected, as minutes may be",double definition
295,Lots of the past one’s misrepresented (4),eons,placeholder,Anagram,*(ones),anagram
296,Two-times quiet husband one defames first off (10),philanders,placeholder,Assemblage,"P (piano in music notation, so “quiet”) + H (husband) + I (one) + (s)LANDERS (“defames”, first (letter) off)",assemblage
297,Broadcast time for piece of news (4),item,placeholder,Anagram,*(time) [anag:broadcast],anagram
298,"Apply pressure about ten to three, say? As long as it takes (8)",duration,placeholder,Container,"DUN (“apply pressure”, especially for payment) about RATIO (10:3 or “ten to three”, say)",assemblage
299,Records hits (6),clocks,placeholder,Double Definition,"Double definition, the first referring to recording the time it takes someone to do something.",double definition
300,Team’s schedule for tea-break (6),eleven,placeholder,Double Definition,"Double definition, the second referring to 11am (time for elevenses)",double definition
301,A smooth king I joined for relaxing stretch after runs (5-3),apres-ski,placeholder,Assemblage,"A + PRESS (“smooth”, as in iron) + K (King, in chess notation or on a playing card) + I",assemblage
302,"Storm increased? Ensure operation of watch (4,2)",wind up,placeholder,Assemblage,WIND (“storm”) + UP (“increased”),double definition
303,Spell as part of school learning (6),period,placeholder,Double Definition,"spell, part of school learning",double definition
304,Piece of crossword that’s out of date (6),square,placeholder,Double Definition,"piece of crossword, out of date",double definition
305,"Left supporter for very brief moment (5,6)",split second,placeholder,Assemblage,SPLIT (“left”) + SECOND (“supporter”),assemblage
306,Is dividing lyric poems – they’re presented on separate occasions (8),episodes,placeholder,Container,IS dividing EPODES (“lyric poems”),container
307,Extremely small fraction of hour (6),minute,placeholder,Double Definition,"extremely small, fraction of hour",double definition
308,Recluse concealing a source of something for days or more (6),loaner,placeholder,Container,LONER (“recluse”) concealing A,container
309,"Part of clock I never restrict the movement of (4,2)",lock in,placeholder,Hidden Word,Hidden in [part of] “cLOCK I Never”,hidden word
310,White flower displayed by Wise when playing with Leeds (9),edelweiss,placeholder,Anagram,An anagram (‘when playing’) of ‘Wise’ plus (‘with’) ‘Leeds’.,anagram
311,Extravagantly ornate vessel loaded with cargo at the back (7),baroque,placeholder,Container,An envelope (‘loaded with’) of O (‘cargO at the back’) in BARQUE (sailing ‘vessel’).,container
312,Popular sibling without hesitation beginning to suggest demands (7),insists,placeholder,Assemblage,A charade of IN (‘popular’) plud SIST[er] (‘sibling’) minus ER (‘without hesitation’) plus S (‘beginning to Suggest’).,assemblage
313,Torture admitted by alien nation (5),egypt,placeholder,Container,An envelope (‘admitted by’) of GYP (‘torture’ as extreme pain) in ET (‘alien’).,container
314,"Quiet country hotel, first-class fish (7)",piranha,placeholder,Assemblage,"A charade of P (piano, ‘quiet’) plus IRAN (‘country’) plus H (‘hotel’) plus A (‘first-class’).",assemblage
315,Last slice of Arctic roll for pud (7),crumble,placeholder,Assemblage,A charade of C (‘last slice of arctiC‘) plus RUMBLE (‘roll’).,assemblage
316,"Inexperienced head that’s likely to get chopped (5,4)",green bean,placeholder,Assemblage,A charade of GREEN (‘inexperienced’) plus BEAN (‘head’).,assemblage
317,"Former garret, very large area, right? (5)",solar,placeholder,Assemblage,A charade of So (‘very’) plus L (‘large’) plus A (‘area’) plus R (‘right’).,assemblage
318,Teach cool new Topic? (9),chocolate,placeholder,Anagram,"An anagram (‘new’) of ‘teach cool’, with indication by example, Topic being a discontinued brand name of a chocolate bar.",anagram
319,Watch over third of Penelope Cruz covers (4),tend,placeholder,Container,"An envelope (‘covers’) of N (‘third of PeNelope’) in TED (‘Cruz’, American politician).",double definition
320,The Times: Oysters Turned Up Outside Sam’s Home (8),yosemite,placeholder,Hidden Word,A hidden (‘outside’) reversed (‘turned up’) answer in ‘thE TIMES OYsters’. Yosemite Sam is a character in Loony Tunes cartoon films.,anagram
321,Welshman’s platform (4),dais,placeholder,Double Definition,DAI'S,assemblage
322,Vegas’s last crook gambler (10),speculator,placeholder,Assemblage,"A charade of S (‘VegaS‘s last’) plus PECULATOR (someone who steals entrusted funds, ‘crook’).",assemblage
323,Republican supporting Tory Party high flier (6),condor,placeholder,Assemblage,A charade of CON (‘Tory’) plus DO (‘party’) plus R (‘Republican’).,assemblage
324,Stomach punched by second blow (4),gust,placeholder,Container,An envelope (‘punched by’) of S (‘second’) in GUT (‘stomach’).,container
325,"Average type, and not married (4)",norm,placeholder,Assemblage,A charade of NOR (‘and not’) plus M (‘married’).,double definition
326,"NT character making drop-goals in error (8,3)",prodigal son,placeholder,Anagram,(DROP GOALS IN)*,anagram
327,Martin’s followers reform most of unearthly beliefs ultimately (9),lutherans,placeholder,Anagram,Anagram of UNEARTHL[y] + [belief]S,anagram
328,Beauty captured by the lens (5),helen,placeholder,Hidden Word,Hidden in tHE LENs; HELEN of Troy was described as “the face that launch’d a thousand ships” in Marlowe’s Doctor Faustus,hidden word
329,Tastier dancing from this performer? (7),artiste,placeholder,Anagram,TASTIER*,anagram
330,Invigorating air in Gozo? Never! (5),ozone,placeholder,Hidden Word,Hidden in gOZO NEver,hidden word
331,"Sick notes lead to notoriety (3,4)",ill fame,placeholder,Assemblage,ILL (sick) + FA ME (two notes of the sol-fa scale),assemblage
332,Band’s origin (7),genesis,placeholder,Double Definition,Double definition,double definition
333,Land collapsing into sea (7),estonia,placeholder,Anagram,(INTO SEA)*,anagram
334,Reparation that one mentioned in passing (9),atonement,placeholder,Hidden Word,Hidden in (in passing) [TH]AT ONE MENT[IONED],hidden word
335,Hair colour of intoxicated bully at core ‘not starting conflict’ (9),highlight,placeholder,Assemblage,HIGH (intoxicated) + middle letter of (at core) [BU]L[LY] + [F]IGHT (conflict) minus first letter (not starting),assemblage
336,"Boatman in base for watch (5,2)",stare at,placeholder,Container,TAR (boatman) inside (in) SEAT (base),container
337,Aggressors led out of rules-based order in chaos (7),abusers,placeholder,Anagram,Anagram of (order in chaos) {RU[LE]S BASE[D]} minus (out) LED,anagram
338,Playing conkers with judges (7),reckons,placeholder,Anagram,Anagram of (playing) CONKERS,anagram
339,Honour as peace finally follows devastation of the war (7),wreathe,placeholder,Anagram,"Anagram of (devastation of) {THE WAR} + last letter of (finally) [PEAC]E, with “follows” indicating the order of the wordplay",anagram
340,Order: comply with aid talks (9),diplomacy,placeholder,Anagram,Anagram of (order) {COMPLY + AID},anagram
341,Cycling round raising fire as a defence against submarines (5),sonar,placeholder,Anagram,ARSON (raising fire) with the first two letters “cycling round” to the end,anagram
342,Toti Soler covers King of Soul (4),otis,placeholder,Hidden Word,"Hidden in (covers) [T]OTI S[OLER], referring to Otis Redding",hidden word
343,Society to raise former ruler to be glorious (5),super,placeholder,Assemblage,S (society) + UP (raise) + ER (former ruler),assemblage
344,"Powerful movement, certain to embrace an end to fighting (5)",surge,placeholder,Container,SURE (certain) around (to embrace) last letter of (an end to) [FIGHTIN]G,container
345,Fox etc an extreme instance of Orwellian communication (8),newspeak,placeholder,Assemblage,"NEWS (Fox etc) + PEAK (an extreme instance), referring to the language spoken in George Orwell’s 1984",assemblage
346,Where to hang sheets in back garden (4),yard,placeholder,Double Definition,"Double definition, the first in the nautical sense",double definition
347,Give money to stop expression of pain (5),endow,placeholder,Assemblage,charade of END (stop) + OW (expression of pain). Expression of pain is usually OW or possibly ouch.,assemblage
348,Quantity of tea swallowed by our Nan (3),urn,placeholder,Hidden Word,hidden word(s) (swallowed by) oUR Nan – with an unusual hidden word indicator.,hidden word
349,Joy in treatment of toenail (7),elation,placeholder,Anagram,anagram of (TOENAIL)* with an anagrind of “treatment of”.,anagram
350,Some hero slavishly presented in London statue (4),eros,placeholder,Hidden Word,hidden word(s) (some) in hERO Slavishly – “presented in” could also be a hidden word indicator – for what I presume is aiming at this statue and I’ll leave the link here without further comment.,hidden word
351,"Rascal, one providing seafood (6)",scampi,placeholder,Assemblage,charade of SCAMP (rascal) + I (one in Roman numerals) for this seafood.,assemblage
352,Creative worker in part is technician (6),artist,placeholder,Hidden Word,hidden word(s) (in) pART IS Technician.,assemblage
385,Wrath appealing? Not quite for pacifist (6),irenic,placeholder,Assemblage,"A charade of IRE (‘wrath’) plus NIC[e] (‘appealing’), minus its last letter (‘not quite’). The definition is an adjective.",assemblage
386,Wine tossed back during Cinco de Mayo (5),medoc,placeholder,Hidden Word,Hidden in reverse of cinCO DE Mayo,hidden word
387,"It requires brushing hale harlot off (4,6)",oral health,placeholder,Anagram,(HALE HARLOT)*,anagram
388,Garlic oil turned into smoke (9),cigarillo,placeholder,Anagram,(GARLIC OIL)*,anagram
