Index,Clue,Solution,gemma_predicted
14556,The bicycle provided for coppers at one time,pennyfarthing,assemblage
78921,Poem about Ulysses essentially at end of Troy,odyssey,assemblage
46124,Backward country's government relinquished control,rein,assemblage
95281,"""Country mania"" is touring round in the same place",namibia,anagram
46199,Cooked potato with cold joint,chip,double definition
56548,Fooled by absorbing Resistance story,hardtimes,container
107238,Bar containing drop of liquid comfort,salve,container
18147,Cautionary cry in Somerset,watchet,assemblage
101319,Lionesses becoming silent,noiseless,anagram
83781,Lack of control in a Hackney report,ataxy,assemblage
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity,container
83831,Live in red wellies?,dwell,hidden word
135550,"Ruin what you do, separating messily in NYC",insolvency,assemblage
89259,"Better old city parking, as on board?",surpass,assemblage
131774,How one may make progress on one's feet,insteps,assemblage
118699,"Awake, went out rejuvenated",updated,assemblage
49154,Give up because of one's self-image?,forego,assemblage
33759,Bishop has to dismiss rising resistance to church,exarch,assemblage
88824,Unpleasant period having fibre to eat,roughage,assemblage
36873,One may have a fair throw at it,coconutshy,assemblage
136427,They're not static water towers,tugboats,assemblage
1091,"""Caine Mutiny"" originally flickered here",cinema,anagram
20590,"Very strict cook, marginally improved",rigid,assemblage
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes,double definition
27022,"Silver and jade, like Yeatsian midnight",aglimmer,assemblage
35372,Enormous scratch by the ear,great,double definition
68631,Ascetic almost spoiled food,yoghurt,assemblage
41246,Bird's heavy defeat overturned,linnet,anagram
52780,A despatch note?,deathwarrant,assemblage
113746,Influence of Tory boor,clout,assemblage
97348,"If that's really the hat you want, I'm not stopping you",onyourheadbeit,assemblage
103047,Firm recalled watchmaker at noon for special event,occasion,assemblage
83563,Cast supporting the Queen's Speech?,thrown,anagram
130037,Agency worker almost the last word in saucy humour,temperament,assemblage
58815,Sexy bottom? It might encourage rapid but unwelcome developments,hotbed,assemblage
60290,Secure forward position,lock,double definition
7214,"Each hoop, but only every other ring",echo,hidden word
120027,Off day? That is criminal,baddie,assemblage
98299,It is difficult being so sensitive,ticklish,double definition
131905,"God, who's flipping cut grass that's already been cut and dried?",yahweh,assemblage
130470,Model curtsied for starters,crudites,anagram
134320,How rifles may be carried by soldiers not wanted in retreat,ported,anagram
8075,Dog mounting sheep,mutton,assemblage
116464,"Having broken a personal record, though on the decline",pastonesbest,double definition
90907,What the publican calls late on many occasions,timeaftertime,assemblage
92289,They watch as three points can go to Golf driver,sentinels,assemblage
27833,Finish urge - that woman will,eggshell,assemblage
87664,"Gather together in the morning, when heading to school",amass,assemblage
136259,Current tests pushed back repressive force,stasi,assemblage
6256,Scandal in the sluice,watergate,double definition
45346,Relish an Indian addition to the meal,chutney,double definition
59282,Cut off and also tie off,isolate,anagram
121944,Quoted poet sounds like Mary's garden,shelly,double definition
45328,Judge a royal nipper,arbiter,assemblage
139462,"Began turning up carrying cargo, initially of spoils",detracts,container
134097,Best of United's wingers running round Hearts scorer?,georgegershwin,assemblage
50807,A reward for the taking?,priceononeshead,double definition
97538,"Came across a sailor, oddly skin and bones",metatarsi,assemblage
119876,Official order to blockade islands when there's a disturbance,incident,assemblage
102393,Distress with endless problems one day before,aggrieve,assemblage
110550,Display unit of wine and spirits,reddevils,assemblage
99967,Get a bit of a sore back tossing it?,caber,hidden word
134682,Cheers solvers are barred from getting,youshouldnthave,double definition
43900,Identifying pattern that's bound to squash one irritant,signature,container
114055,Boatman in youth given order to vacate land,navalcadet,assemblage
94794,Nothing to bone of bones,osteal,assemblage
12544,One gets up flowers,irises,assemblage
91690,Performance of capital detachment,execution,double definition
50572,Free husband,save,double definition
17405,Vivacity normal in retreating deer,sparkle,container
38373,Small and delicate,slight,double definition
29441,Calm North Yorkshire town,settle,double definition
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,anagram
28275,Prepare for scan on the Fourth of July,ready,assemblage
49815,Drunken men docked in early naval vessel,minelayer,anagram
64787,"Apart from Spanish white wine, mostly French white wine",barsac,assemblage
78750,Paid pounds for something at auction,gavel,assemblage
45235,Gamble a great deal on a patched-up tyre,lottery,assemblage
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,anagram
34965,Jack's screwdriver?,propeller,double definition
80812,One's inclined to strike with Popular Front,ramp,assemblage
328,Smooth limb at end of torso,legato,assemblage
89801,Hood hardly ever appears over nothing,scarface,container
101752,"Restricted middle section used to be soft, then it was revised",waspwaist,assemblage
132261,Contract gamble upset live broadcaster?,beeb,assemblage
17691,Like to take one to a region where Jesus was born,asia,assemblage
133184,Excite poorly-fed bird first,titillate,assemblage
125621,Crew men showing little variation in strokes,stokers,anagram
66079,Is it after five or later he calls?,visitor,anagram
86199,Alumnus sitting with Scarface is haunted,obsessional,assemblage
134995,Name-dropping Dubliner shattered and put back together,rebuild,anagram
114209,"Discreet, caught in bad fault",tactful,container
12053,"Listener's home, the grave?",earnest,assemblage
134455,Pain he's suffering to get fit,inshape,anagram
90639,Furnace where link is forged,kiln,anagram
132191,"When pressed, manages passes",getsby,assemblage
89291,"Cast my anchor in Norway, say",monarchy,anagram
120780,"Shows insubordination, giving support to negotiations",talksback,assemblage
3128,"Clifftop home creepy, we hear?",eyrie,double definition
25985,One bombardier gets in before another,encore,assemblage
87722,Writer improperly abridged,amis,assemblage
19647,Old empress giving away last instrument,ocarina,assemblage
115851,Struggle across line to finish,complete,container
95875,President exchanges vote for new fabric,ninon,assemblage
56748,She surprised Alice,celia,anagram
49003,Sort of nut that is loose,untie,anagram
119926,Warning to speculators on gravy train ?,mindthegap,double definition
102140,"Floater, one joining church to criticise",icepan,assemblage
103076,Function applied to cube with no fixed date,sinedie,assemblage
13659,Wanted revolutionary to support sideshow,desired,assemblage
43509,Herod's son to gain entree to Rome ?,antipasto,assemblage
123013,"Lawless one meeting end in electric chair, perhaps",anarchic,assemblage
136829,"Hacking, will fear this security measure?",firewall,anagram
83431,Odd people in error in Eden,originalsin,assemblage
37022,Wrinkles between features in a premature state,earliness,container
98100,A marvellous idea taking off in dream,aspiration,double definition
46325,It's cryptic woman's paper,tissue,double definition
54257,"Squeeze round corners, leaning heads skywards in ravine",gulch,assemblage
40368,Make new arrangements for the holiday place,resort,double definition
33788,I follow through with spirit,peri,assemblage
121561,"After head start, wind up on winners' tail: put your shirt on them?",hangers,assemblage
101215,Come down to earth about p-payment for a sweet,toffeeapple,container
11830,Doctor can sue for time to redeem foreign bills,usance,anagram
41398,Acts as executor - some teachers want to,beheads,double definition
81250,"With belly in unusually bad order, lain over",abdominal,anagram
13238,Motorists seen in distance - it's inexplicable,miracle,container
130168,Cosy conga (line dancing?),congenial,anagram
89373,Quarrel can get personal in place like Harrogate,spatown,assemblage
22648,The end of the New Testament,amen,double definition
103162,Type of verse inspired by daemon or Hymen,monorhyme,hidden word
12944,Abrasive doctor appears extremely narked,sandpaper,anagram
26545,I mostly remain in agreement in believing in God,deistical,container
11832,Time permitted for transferring note in dubious cause,usance,anagram
61851,Astonished by one-way fold,awestruck,assemblage
70788,"Mammals (the last shall be first), named like Washington, say",eponymous,assemblage
112205,Displace journalist that has complaint about energy,edgeout,container
88354,"Former eastern country, catching bug, going west with eastern dressing",mayonnaise,assemblage
60106,Certainly bound to be different,nodoubt,anagram
42965,Emitting light from silver base,aglow,assemblage
59209,"Sad, losing out in this sliding scale",glissando,anagram
120891,Floods spread sludge around Mile End,deluges,anagram
116963,"Taking public transport back to worker after ten, he pays part of lease",subtenant,assemblage
87505,"Argument tense, blowing top",tiff,assemblage
52288,Rubber reported by my sister in Paris?,masseur,double definition
68732,Prompt service for TV presenters,idiotboard,assemblage
260,Provincial half of army behind endless abuse,insular,assemblage
71142,Poet having gone short of books,abse,assemblage
104224,Numbers of a nonstarter,nono,assemblage
69095,Blue wine is a washout,sadsack,assemblage
20326,A daughter in French port finally off? Not so fast!,andante,assemblage
47811,Artists apply to less than saintly monk,rasputin,assemblage
4871,Charming and delicate female seen in reflection of river,elfin,container
85426,Mechanism for turning right in an agitated state,lather,assemblage
107684,Composer's scornful work not given run,satie,assemblage
139214,Over the moon here to have secret room,deepspace,assemblage
83334,"Crude, Puck? Not at first, with well-connected people",oilmen,assemblage
140963,Actor with sheet sings from the bottom,filmstar,assemblage
99777,The work yet to come from PL for truly harmon-ious movement,poetryinmotion,assemblage
111745,"Dead popular thought, disposing of male!",insentient,assemblage
83741,"Sailor, soldier and girl join in dance",tarantella,assemblage
2591,A representative business,agency,double definition
62314,Snakes top their opposites,adders,double definition
35240,Hair and metallic mineral stink,furore,assemblage
51626,A hard thing to catch,nail,double definition
77728,"Superior selection of wines, we hear, which has sold a lot",bestseller,assemblage
14218,Circulator to bear losing head,eddy,assemblage
93701,Where people go in for charms,entrances,double definition
102896,Soul music?,spiritual,double definition
84115,Are spades imported to make tracks?,exist,anagram
127215,As might be brakes of tank with coil rotation,antilock,anagram
20346,"First letter is open, perhaps letter from abroad",epsilon,assemblage
44148,Bridge team that's in switched-off state - it can't last,transience,assemblage
115544,Gym instruction by top man in place of games once,peking,assemblage
91339,More than is required for six deliveries?,overcapacity,assemblage
30758,The keynote to good health?,tonic,double definition
54355,"Writer, a good man, seen inside foreign restaurant",bistro,container
39461,"Flies parted, I pissed",diptera,anagram
12774,Dragged to the altar?,towed,double definition
87168,Confinement which sounds yellow?,custody,double definition
28479,A building in Slough,shed,double definition
549,Pain beginning to hurt in one,ache,container
35103,United supporters come back in a mess,snafu,assemblage
100634,Poem about mountains given top grade -- sparkling stuff,orangeade,container
79676,Make use of the quality of diamonds - without diamonds,harness,assemblage
116745,Hit I have in a regular series,successive,assemblage
60699,Indeed a complicated case gets passed over,deceased,anagram
31298,"Communication with naked ladies, say",email,anagram
67248,Aspect of Spain no fiction's written about,facet,hidden word
49328,Salad dressing envied,endive,anagram
42522,Insects delightful? Not one - that's right!,licence,assemblage
131796,Mate rounded Cape unnoticed,hubby,assemblage
62123,Indian sage that's been topped and crushed by child's mother,mahatma,assemblage
10169,Nation in plan to lose weight,india,assemblage
131081,"In a maddening way, shrewd Brown standing inside",frustratingly,container
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,anagram
129531,Emission - tax to the limit,exhaust,double definition
78366,Factory philosopher,mill,double definition
110915,Lady golfer embraces feminist model in smart dress,whitetie,assemblage
33803,Tot's taking mother across river,dram,assemblage
31731,"Wild duck swallows English dram, if dry",teetotal,container
117834,Order a course,sequence,double definition
63174,The black arts conceal trap that's attractive,magnetic,hidden word
9566,Volunteers to return sombre tunic,tabard,assemblage
46683,Where Horatio asked for the kiss of death?,trafalgar,double definition
39851,He fails to show up the defect in the return pipe,defaulter,container
104675,Graphic artist uses wire and string,signwriter,assemblage
103706,Stock owner can let charter lapse,cattlerancher,anagram
74952,Made up a number,composed,double definition
108257,Be punctilious having to get back for the fish,stickle,double definition
2174,Herb in paper covering's behind the salt,tarragon,assemblage
90362,Article comes together for Guardian messengers?,angels,assemblage
134957,Old tray I renovated with skill,adroitly,anagram
89346,Some auxiliary bones,ilia,hidden word
77048,Deliver a blackbird,bowl,double definition
83569,Thin binding weed - it's what's observed on road,speedlimit,assemblage
121660,"Sweet where OAP is in EastEnders, perhaps?",afters,assemblage
91077,Dress up a day in advance for lover,girlfriend,assemblage
78770,Uncalled for correspondence,deadletter,double definition
1543,Community to pay workers overtime,settlement,double definition
91842,Spending allowance to be cut in move,budge,container
12080,Lie concerning strength of character,fibre,assemblage
121128,Scruffy label on scruffy item of clothing,ragtag,assemblage
1478,Snick a boundary,edge,double definition
90127,Giving medical treatment to stray pet held,dosing,container
75508,"A day in dopey stupor, endlessly like t-h-i-s?",spacedout,double definition
43685,Player with no time for a bet,fluter,container
120450,Priest's crime taking time in a clerical residence,parsonage,assemblage
28758,"A stroke by a batsman going for a run, perhaps?",ondrive,double definition
134058,Harry and Henry nabbed by someone not in uniform,chivvy,container
1454,"Entire NHS in trouble, losing ten to bruise",shiner,anagram
102609,"Suffering different elements, primarily hail",hellothere,assemblage
120426,Prime made out to include another,seven,container
98043,Occasion to eat a piece of cake,picnic,double definition
91484,Composer left a little bit of nonsense,fallal,assemblage
44396,No time for Mister Scrooge,miser,container
77843,Sailors sought by TV producer,ratings,double definition
5419,Core of expedition is a long way off,afar,hidden word
121029,Sydney's landmark before building works?,operahouse,double definition
21197,About to experience the finale of William Tell,inform,assemblage
15736,"Opening for a salesman turned up, true to form",aperture,assemblage
33877,Noble brew of ale that's about right,earl,anagram
85944,Biblical dupe keeping bridge players up with sense of foreboding,unease,container
102268,Strangler with soldiers going around in band,garroter,container
84522,"Position of king, plus heir, ousted",rulership,anagram
25655,"Enter Dotty, with bird's dance movement",entrechat,assemblage
142265,Cry out for the old record format,yelp,assemblage
102328,Not even a soldier,irregular,double definition
56118,"Petit dejeuner, one tucked away by worker in a bad mood?",croissant,assemblage
132272,"After a drink, German enthusiast gets a biscuit",gingernut,assemblage
15122,Drink for each returning academic,pernod,assemblage
72759,"To be lying here, it's serious!",grave,double definition
9582,Top-class detectives initially left in clear,lucid,assemblage
38158,Run member of pack over,flow,anagram
32745,A-class grass,alfa,double definition
46160,Primitive sailor of marked individuality,aboriginal,assemblage
44642,How ill was the reviewer?,critically,double definition
116989,Parent with fruit,papaw,assemblage
88477,"'To the bride', perhaps, in German (Browning)",toasting,double definition
58349,Travel through East End district with offensive weapon,crossbow,assemblage
102947,Bones in the head all turned to point,patellae,assemblage
82828,Mark Antony's extreme spirit,brandy,assemblage
133038,"Go for somewhere in Scotland, as Dickens character",pickwick,assemblage
138620,Manual actions in service taking a long time,massages,container
24289,Penny has beer and pasty,pale,assemblage
2119,Is young Blair a supporter? Insert number in Irish Sea,isleofman,assemblage
31193,Prince not turning up for dance,charleston,assemblage
130810,Joint drinks parties,kneesups,assemblage
123507,Cats finally sounding happy? That's encouraging,spurring,assemblage
26494,"European composer, in recital, has things to do",checklist,container
64343,Clothing society suffering legal action,shellsuit,assemblage
30462,It's supposed to prevent travellers' bags getting in a snarl-up,bfcycleclip,double definition
115813,Old councillors learned somehow about a Frenchman,aldermen,anagram
64648,Spare fire,letoff,double definition
129802,Hawk seizing tail of mynah bird,chough,assemblage
80173,Returns to digs for economy's sake,retrenches,assemblage
32909,Be nippy? Not a lot!,dash,double definition
103476,Could it make ferret wash?,freshwater,anagram
17188,Snooker player breaks with end of cue,white,assemblage
81195,"Flash not very bright, introducing copper for a bit",modicum,container
123957,We murmur a short reply,humans,assemblage
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,anagram
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,anagram
53033,Said to be the story's end,tail,double definition
84810,"Taffy's home - right, left and roundabout",landofmyfathers,assemblage
46118,Racket's centre starts to buckle under bombardment,hubbub,assemblage
100731,Close to last time food warnings ensue,threats,assemblage
53604,Dramatic confidence?,stagewhisper,assemblage
14106,"Not wanted at the feast, best left in the cupboard",skeleton,double definition
137650,Model receiving complaint to consider retiring after hostilities ended,postbellum,assemblage
131463,Badger resorted to exit by road,streetdoor,assemblage
40206,American small change being found in school is dodgy,suspect,assemblage
10926,Act as an agitator and get jail,stir,double definition
76832,To compensate for one short day is to take heart from another,satisfy,assemblage
77279,Crazy over North American icon,madonna,assemblage
104766,Spike has doll that is missing,barb,double definition
85039,"Each one opening, under no circumstances remaining open",uncover,assemblage
132678,East European city where two vessels turned up,krakow,assemblage
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,anagram
10979,Check demand for material,damask,assemblage
141319,Radioactive element in preservative for good health,salut,container
14311,Plant with a sting stuck in the chimney,laburnum,container
89803,Mobster's joint is cover for card operation,scarface,assemblage
6110,Close check,stop,double definition
120047,"C, half-cut Bush, for example, gatecrashing his party?",cameron,assemblage
40179,Peculiar game,rummy,double definition
105648,City state ground out small business,cottageindustry,anagram
31190,Prince not getting up for the dance,charleston,assemblage
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster,hidden word
36078,"Soldier's gear, which stays at home",tinhat,container
25486,Violinist's private room,bower,double definition
14982,Boy-meets-girl opera,leonora,assemblage
38536,Getting through to farms about ground that's always frozen,permafrost,assemblage
93127,Prima donna gets a quid for appearing in lights,divali,assemblage
34853,He designed a water container,adam,double definition
47492,Retired Scotsman's trick,scam,anagram
67110,"An abstract point, to be exact",precise,assemblage
112609,Sleep until noon (twelve),dozen,assemblage
120758,Snowman? College erected it,inuit,assemblage
6072,Bottom of league in Cheshire and East Lancashire?,cheese,assemblage
140892,Setter's upset over good answers to puzzles,enigmas,assemblage
57863,Carry on in summary fashion,resume,double definition
84465,Eat away without starting to bring back,etch,assemblage
96014,Sharp stone for the remaining persons,alltherest,double definition
56976,European in next cell tortured in capital,excellent,assemblage
121312,Hole number dealing with bad habit,crevice,assemblage
61605,"Bulbs shining, these charged",onions,assemblage
50761,"Telephone bell starting off, but not so loud",lower,double definition
108513,Its partition was booked,redsea,assemblage
5366,Boss lost in dust storm,stud,anagram
132928,"Beacons required to follow this, if range is to be obtained",brecon,assemblage
119078,"Time off, stuff punctuated by irregular pay",gapyear,container
93033,Record claiming uranium is brownish-grey,taupe,container
88134,Wolf circling eastern Galloway?,george,container
58772,"Hundreds pocketed by accountants, the rotters!",cads,container
100257,Help fool individual with attitude,assistance,assemblage
109072,Something dentist may have to do with lineage,extraction,double definition
123726,Vegetable essence,marrow,double definition
1030,Iberian prince angered in revolt,grandee,anagram
87361,Heartless Shakespeare heroine keeping beret for a head,percapita,container
70181,Peculiar issue more likely than not,oddson,assemblage
93892,Solid grasp of company case?,firmgrip,double definition
116622,Ruled measure government introduced must be reversed,reigned,container
28384,"I am the cat among dairy produce, going to overlap?",imbricate,assemblage
64671,I throw my weight around the angel,islington,assemblage
21476,"Engaged, that's the outcome about me and a girl",enmeshed,container
8968,What's got out of bed?,rose,double definition
122484,Head of state with guns to tame rioting,maotsetung,anagram
19964,Honour given to boy king ...,oberon,assemblage
116450,Inexperience wears off: name gained success finally,rawness,anagram
10829,Religious house is too much for this priest,abbe,double definition
1697,"Like mistletoe, it is a hit when put up, caught underneath",parasitic,assemblage
128290,Tough solidity for road transport crossing a bit of rail track,burliness,container
31476,Artist in car skirting ancient city,seurat,container
58634,Praise the boot rejected by lieutenant,exalt,assemblage
114956,"Exciting book, ""The Musician's Aide""",pageturner,double definition
40505,Ass in America leading to American kerfuffle,rumpus,assemblage
33947,Law suit finally disposed of - for a figure,statue,double definition
74212,"What maintenance staff should do at points, etc",checkrails,double definition
36567,PM essentially disappointed England,eden,hidden word
3319,"Blue died, a bit of an act",obscene,assemblage
103221,One seen in a hanging basket?,balloonist,double definition
9207,Sat Latin translation in a lost realm of fancy,atlantis,anagram
40287,Laciest piece in the sewing box? That's stretching it!,elastic,anagram
36592,Male child consumes duck quickly,soon,container
34241,One's captivated by star-shaped feature of fluted column,stria,anagram
134763,Male children's book character heard singing in church?,hymnody,assemblage
61642,Badly treated and is unserviceable in the sea,misused,assemblage
118902,Tabloid pictures which closely resemble one another,mirrorimages,assemblage
83799,Vehicles boy goes in are always late,cadavers,container
28350,Best food Mike's brother found in the continent,ambrosia,container
9249,First of Walter Mitty's turns: provide defence and make me conform,twistmyarm,assemblage
37285,Like supporter at home holding a kind of sign inside boundary,infavour,container
20073,"One in dock, employed by a county council",accused,assemblage
38183,Monster fish,troll,double definition
79225,No bunker could be perfectly even,unbroken,anagram
11951,What Italians drink in the Mestre: Galliano,strega,hidden word
84068,Contrary commercial jingle,adverse,assemblage
103255,Anxiety about hair stops you sleeping,alarmclock,assemblage
86453,Crossover door,rood,anagram
25043,Australian one needing invigorating air,ozone,assemblage
29221,"Poet's dawn air ""threaded with gold""",aurora,container
84783,Sent us out at the end of the day,sunset,anagram
90023,Live at home after a short break as an artist,holbein,assemblage
38309,"Very French attempt to seduce is wrong, legally",trespass,assemblage
100999,Dessert like jelly seen around the globe,sorbet,container
41551,Report to do with extremity,retail,assemblage
138851,"Only a proportion taken from income, a tax evaded is a dangerous thing",meataxe,hidden word
40401,Town's ancient guy who must have been out of the ark,oldham,assemblage
22379,Old king failing to make the grade,edgar,anagram
18838,Danger for sailors in popular music,rock,double definition
198,Fend off leader of pirates in film,repel,container
86393,Tick Kennedy's heart's condition,jiff,assemblage
17359,Student caught with a dictionary,coed,assemblage
106492,"Alas, old Bob Dylan cut short touring",sadly,anagram
38797,English general accepts tax raise,elevate,container
130471,"Raw food cursed, it needing to be cooked",crudites,anagram
14827,Battle later developed into chase,waterloo,assemblage
121362,Pet with pal struggling over a tree,catalpa,assemblage
101788,West Indian play groups,steelbands,double definition
77301,Gets the dog and looks around,secures,container
13695,Grim prospect for yachtsman trying to catch rival,stern,double definition
123072,"Bird back after season abroad, man's problem afoot?",fallenarches,assemblage
26686,Knock run off spin bowler,elbow,anagram
27162,Books for more than one opera,libretti,double definition
129375,Resident superpower stuffing herb in meat product,liversausage,assemblage
135945,Tubes bringing a form of medication to stop decay,capillaries,container
111629,Criminals returning so as to be split in opposing,cosanostra,container
71373,Loved to see the dreadnought wrecked,adored,anagram
91232,"Power governs tube centrally - US tube, that is",subway,assemblage
7600,Left holding baby after this,labour,container
26262,Finally gives woman liquid nitrogen to make frozen sculpture,snowman,assemblage
59714,She provides father with cooked meal,pamela,assemblage
