Index,Clue,Solution
11241,Drink without a container sent back source of milk,coconut
105358,"Writer in a hurry to do so, too",rushdie
75815,Make an effective stab at providing a short survey,runthrough
119085,"Residence in block, a squat",bungalow
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda
87379,"A slippery customer, the winter sportsman!",skier
79884,No laughs disrupted Evert's closing attack,onslaught
11494,Listened when eccentric signed on,enlisted
136017,Disciples are against books by stars,votaries
85137,Whom beer affected should keep away from it!,homebrew
140113,He scripted nice revised report of spoken words,indirectspeech
97645,A politician's current measure,amps
49653,Society follows better customs,mores
132156,Range of dumps accommodating virile blokes by day,themendips
63736,Knock cap off sleeping policeman,hump
68452,Turn and hide glass,windscreen
27894,Reportedly waited around grave,staid
47499,Put up rainwear in a swindle,scam
46777,Country song about American getting back from Detroit,austria
110387,Briefly contemplate a chop reserved for Spaniard's meal,gazpacho
33300,"Write, for instance, ""to rise"" as your answer?",getup
134309,Holder and others sounded greatly impressed,slayed
3418,A buddy rejects sport for which he's not paid,amateur
76110,Virgil's lines against leaving heaven during tide change,theaeneid
12579,Benefit favouring the healthy,profit
53052,Fish ate weed,haddock
6637,One vintage port that's perfect,ideal
75375,Parliament success: what about Mr Coe? Negative,naseby
101963,Where to hole a vessel among the fleet,amidships
51733,Where accidents are affecting the roses,blackspot
91152,"In tight spot, swear!",plight
137716,Fiddle with French car that's dropping back,fraud
136954,One hesitates to revive English leader after knockout,anaesthetise
54535,Morse's last case stirring up memories,evocative
2975,Spoken for a large section,oral
24929,Night is unusual source of enlightenment,insight
14556,The bicycle provided for coppers at one time,pennyfarthing
78921,Poem about Ulysses essentially at end of Troy,odyssey
46124,Backward country's government relinquished control,rein
95281,"""Country mania"" is touring round in the same place",namibia
46199,Cooked potato with cold joint,chip
56548,Fooled by absorbing Resistance story,hardtimes
107238,Bar containing drop of liquid comfort,salve
18147,Cautionary cry in Somerset,watchet
101319,Lionesses becoming silent,noiseless
83781,Lack of control in a Hackney report,ataxy
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity
83831,Live in red wellies?,dwell
135550,"Ruin what you do, separating messily in NYC",insolvency
89259,"Better old city parking, as on board?",surpass
131774,How one may make progress on one's feet,insteps
118699,"Awake, went out rejuvenated",updated
49154,Give up because of one's self-image?,forego
33759,Bishop has to dismiss rising resistance to church,exarch
88824,Unpleasant period having fibre to eat,roughage
36873,One may have a fair throw at it,coconutshy
136427,They're not static water towers,tugboats
1091,"""Caine Mutiny"" originally flickered here",cinema
20590,"Very strict cook, marginally improved",rigid
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes
27022,"Silver and jade, like Yeatsian midnight",aglimmer
35372,Enormous scratch by the ear,great
68631,Ascetic almost spoiled food,yoghurt
41246,Bird's heavy defeat overturned,linnet
52780,A despatch note?,deathwarrant
113746,Influence of Tory boor,clout
97348,"If that's really the hat you want, I'm not stopping you",onyourheadbeit
103047,Firm recalled watchmaker at noon for special event,occasion
83563,Cast supporting the Queen's Speech?,thrown
130037,Agency worker almost the last word in saucy humour,temperament
58815,Sexy bottom? It might encourage rapid but unwelcome developments,hotbed
60290,Secure forward position,lock
7214,"Each hoop, but only every other ring",echo
120027,Off day? That is criminal,baddie
98299,It is difficult being so sensitive,ticklish
131905,"God, who's flipping cut grass that's already been cut and dried?",yahweh
130470,Model curtsied for starters,crudites
134320,How rifles may be carried by soldiers not wanted in retreat,ported
8075,Dog mounting sheep,mutton
116464,"Having broken a personal record, though on the decline",pastonesbest
90907,What the publican calls late on many occasions,timeaftertime
92289,They watch as three points can go to Golf driver,sentinels
27833,Finish urge - that woman will,eggshell
87664,"Gather together in the morning, when heading to school",amass
136259,Current tests pushed back repressive force,stasi
6256,Scandal in the sluice,watergate
45346,Relish an Indian addition to the meal,chutney
59282,Cut off and also tie off,isolate
121944,Quoted poet sounds like Mary's garden,shelly
45328,Judge a royal nipper,arbiter
139462,"Began turning up carrying cargo, initially of spoils",detracts
134097,Best of United's wingers running round Hearts scorer?,georgegershwin
50807,A reward for the taking?,priceononeshead
97538,"Came across a sailor, oddly skin and bones",metatarsi
119876,Official order to blockade islands when there's a disturbance,incident
102393,Distress with endless problems one day before,aggrieve
110550,Display unit of wine and spirits,reddevils
99967,Get a bit of a sore back tossing it?,caber
134682,Cheers solvers are barred from getting,youshouldnthave
43900,Identifying pattern that's bound to squash one irritant,signature
114055,Boatman in youth given order to vacate land,navalcadet
94794,Nothing to bone of bones,osteal
12544,One gets up flowers,irises
91690,Performance of capital detachment,execution
50572,Free husband,save
17405,Vivacity normal in retreating deer,sparkle
38373,Small and delicate,slight
29441,Calm North Yorkshire town,settle
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar
28275,Prepare for scan on the Fourth of July,ready
49815,Drunken men docked in early naval vessel,minelayer
64787,"Apart from Spanish white wine, mostly French white wine",barsac
78750,Paid pounds for something at auction,gavel
45235,Gamble a great deal on a patched-up tyre,lottery
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide
34965,Jack's screwdriver?,propeller
80812,One's inclined to strike with Popular Front,ramp
328,Smooth limb at end of torso,legato
89801,Hood hardly ever appears over nothing,scarface
101752,"Restricted middle section used to be soft, then it was revised",waspwaist
132261,Contract gamble upset live broadcaster?,beeb
17691,Like to take one to a region where Jesus was born,asia
133184,Excite poorly-fed bird first,titillate
125621,Crew men showing little variation in strokes,stokers
66079,Is it after five or later he calls?,visitor
86199,Alumnus sitting with Scarface is haunted,obsessional
134995,Name-dropping Dubliner shattered and put back together,rebuild
114209,"Discreet, caught in bad fault",tactful
12053,"Listener's home, the grave?",earnest
134455,Pain he's suffering to get fit,inshape
90639,Furnace where link is forged,kiln
132191,"When pressed, manages passes",getsby
89291,"Cast my anchor in Norway, say",monarchy
120780,"Shows insubordination, giving support to negotiations",talksback
3128,"Clifftop home creepy, we hear?",eyrie
25985,One bombardier gets in before another,encore
87722,Writer improperly abridged,amis
19647,Old empress giving away last instrument,ocarina
115851,Struggle across line to finish,complete
95875,President exchanges vote for new fabric,ninon
56748,She surprised Alice,celia
49003,Sort of nut that is loose,untie
119926,Warning to speculators on gravy train ?,mindthegap
102140,"Floater, one joining church to criticise",icepan
103076,Function applied to cube with no fixed date,sinedie
13659,Wanted revolutionary to support sideshow,desired
43509,Herod's son to gain entree to Rome ?,antipasto
123013,"Lawless one meeting end in electric chair, perhaps",anarchic
136829,"Hacking, will fear this security measure?",firewall
83431,Odd people in error in Eden,originalsin
37022,Wrinkles between features in a premature state,earliness
98100,A marvellous idea taking off in dream,aspiration
46325,It's cryptic woman's paper,tissue
54257,"Squeeze round corners, leaning heads skywards in ravine",gulch
40368,Make new arrangements for the holiday place,resort
33788,I follow through with spirit,peri
121561,"After head start, wind up on winners' tail: put your shirt on them?",hangers
101215,Come down to earth about p-payment for a sweet,toffeeapple
11830,Doctor can sue for time to redeem foreign bills,usance
41398,Acts as executor - some teachers want to,beheads
81250,"With belly in unusually bad order, lain over",abdominal
13238,Motorists seen in distance - it's inexplicable,miracle
130168,Cosy conga (line dancing?),congenial
89373,Quarrel can get personal in place like Harrogate,spatown
22648,The end of the New Testament,amen
103162,Type of verse inspired by daemon or Hymen,monorhyme
12944,Abrasive doctor appears extremely narked,sandpaper
26545,I mostly remain in agreement in believing in God,deistical
11832,Time permitted for transferring note in dubious cause,usance
61851,Astonished by one-way fold,awestruck
70788,"Mammals (the last shall be first), named like Washington, say",eponymous
112205,Displace journalist that has complaint about energy,edgeout
88354,"Former eastern country, catching bug, going west with eastern dressing",mayonnaise
60106,Certainly bound to be different,nodoubt
42965,Emitting light from silver base,aglow
59209,"Sad, losing out in this sliding scale",glissando
120891,Floods spread sludge around Mile End,deluges
116963,"Taking public transport back to worker after ten, he pays part of lease",subtenant
87505,"Argument tense, blowing top",tiff
52288,Rubber reported by my sister in Paris?,masseur
68732,Prompt service for TV presenters,idiotboard
260,Provincial half of army behind endless abuse,insular
71142,Poet having gone short of books,abse
104224,Numbers of a nonstarter,nono
69095,Blue wine is a washout,sadsack
20326,A daughter in French port finally off? Not so fast!,andante
47811,Artists apply to less than saintly monk,rasputin
4871,Charming and delicate female seen in reflection of river,elfin
85426,Mechanism for turning right in an agitated state,lather
107684,Composer's scornful work not given run,satie
139214,Over the moon here to have secret room,deepspace
83334,"Crude, Puck? Not at first, with well-connected people",oilmen
140963,Actor with sheet sings from the bottom,filmstar
99777,The work yet to come from PL for truly harmon-ious movement,poetryinmotion
111745,"Dead popular thought, disposing of male!",insentient
83741,"Sailor, soldier and girl join in dance",tarantella
2591,A representative business,agency
62314,Snakes top their opposites,adders
35240,Hair and metallic mineral stink,furore
51626,A hard thing to catch,nail
77728,"Superior selection of wines, we hear, which has sold a lot",bestseller
14218,Circulator to bear losing head,eddy
93701,Where people go in for charms,entrances
102896,Soul music?,spiritual
84115,Are spades imported to make tracks?,exist
127215,As might be brakes of tank with coil rotation,antilock
20346,"First letter is open, perhaps letter from abroad",epsilon
44148,Bridge team that's in switched-off state - it can't last,transience
115544,Gym instruction by top man in place of games once,peking
91339,More than is required for six deliveries?,overcapacity
30758,The keynote to good health?,tonic
54355,"Writer, a good man, seen inside foreign restaurant",bistro
39461,"Flies parted, I pissed",diptera
12774,Dragged to the altar?,towed
87168,Confinement which sounds yellow?,custody
28479,A building in Slough,shed
549,Pain beginning to hurt in one,ache
35103,United supporters come back in a mess,snafu
100634,Poem about mountains given top grade -- sparkling stuff,orangeade
79676,Make use of the quality of diamonds - without diamonds,harness
116745,Hit I have in a regular series,successive
60699,Indeed a complicated case gets passed over,deceased
31298,"Communication with naked ladies, say",email
67248,Aspect of Spain no fiction's written about,facet
49328,Salad dressing envied,endive
42522,Insects delightful? Not one - that's right!,licence
131796,Mate rounded Cape unnoticed,hubby
62123,Indian sage that's been topped and crushed by child's mother,mahatma
10169,Nation in plan to lose weight,india
131081,"In a maddening way, shrewd Brown standing inside",frustratingly
102936,"No good in house that lacks order, if untidy - might this help?",fengshui
129531,Emission - tax to the limit,exhaust
78366,Factory philosopher,mill
110915,Lady golfer embraces feminist model in smart dress,whitetie
33803,Tot's taking mother across river,dram
31731,"Wild duck swallows English dram, if dry",teetotal
117834,Order a course,sequence
63174,The black arts conceal trap that's attractive,magnetic
9566,Volunteers to return sombre tunic,tabard
46683,Where Horatio asked for the kiss of death?,trafalgar
39851,He fails to show up the defect in the return pipe,defaulter
104675,Graphic artist uses wire and string,signwriter
103706,Stock owner can let charter lapse,cattlerancher
74952,Made up a number,composed
108257,Be punctilious having to get back for the fish,stickle
2174,Herb in paper covering's behind the salt,tarragon
90362,Article comes together for Guardian messengers?,angels
134957,Old tray I renovated with skill,adroitly
89346,Some auxiliary bones,ilia
77048,Deliver a blackbird,bowl
83569,Thin binding weed - it's what's observed on road,speedlimit
121660,"Sweet where OAP is in EastEnders, perhaps?",afters
91077,Dress up a day in advance for lover,girlfriend
78770,Uncalled for correspondence,deadletter
1543,Community to pay workers overtime,settlement
91842,Spending allowance to be cut in move,budge
12080,Lie concerning strength of character,fibre
121128,Scruffy label on scruffy item of clothing,ragtag
1478,Snick a boundary,edge
90127,Giving medical treatment to stray pet held,dosing
75508,"A day in dopey stupor, endlessly like t-h-i-s?",spacedout
43685,Player with no time for a bet,fluter
120450,Priest's crime taking time in a clerical residence,parsonage
28758,"A stroke by a batsman going for a run, perhaps?",ondrive
134058,Harry and Henry nabbed by someone not in uniform,chivvy
1454,"Entire NHS in trouble, losing ten to bruise",shiner
102609,"Suffering different elements, primarily hail",hellothere
120426,Prime made out to include another,seven
98043,Occasion to eat a piece of cake,picnic
91484,Composer left a little bit of nonsense,fallal
44396,No time for Mister Scrooge,miser
77843,Sailors sought by TV producer,ratings
5419,Core of expedition is a long way off,afar
121029,Sydney's landmark before building works?,operahouse
21197,About to experience the finale of William Tell,inform
15736,"Opening for a salesman turned up, true to form",aperture
33877,Noble brew of ale that's about right,earl
85944,Biblical dupe keeping bridge players up with sense of foreboding,unease
102268,Strangler with soldiers going around in band,garroter
84522,"Position of king, plus heir, ousted",rulership
25655,"Enter Dotty, with bird's dance movement",entrechat
142265,Cry out for the old record format,yelp
102328,Not even a soldier,irregular
56118,"Petit dejeuner, one tucked away by worker in a bad mood?",croissant
132272,"After a drink, German enthusiast gets a biscuit",gingernut
15122,Drink for each returning academic,pernod
72759,"To be lying here, it's serious!",grave
9582,Top-class detectives initially left in clear,lucid
38158,Run member of pack over,flow
32745,A-class grass,alfa
46160,Primitive sailor of marked individuality,aboriginal
44642,How ill was the reviewer?,critically
116989,Parent with fruit,papaw
88477,"'To the bride', perhaps, in German (Browning)",toasting
58349,Travel through East End district with offensive weapon,crossbow
102947,Bones in the head all turned to point,patellae
82828,Mark Antony's extreme spirit,brandy
133038,"Go for somewhere in Scotland, as Dickens character",pickwick
138620,Manual actions in service taking a long time,massages
24289,Penny has beer and pasty,pale
2119,Is young Blair a supporter? Insert number in Irish Sea,isleofman
31193,Prince not turning up for dance,charleston
130810,Joint drinks parties,kneesups
123507,Cats finally sounding happy? That's encouraging,spurring
26494,"European composer, in recital, has things to do",checklist
64343,Clothing society suffering legal action,shellsuit
30462,It's supposed to prevent travellers' bags getting in a snarl-up,bfcycleclip
115813,Old councillors learned somehow about a Frenchman,aldermen
64648,Spare fire,letoff
129802,Hawk seizing tail of mynah bird,chough
80173,Returns to digs for economy's sake,retrenches
32909,Be nippy? Not a lot!,dash
103476,Could it make ferret wash?,freshwater
17188,Snooker player breaks with end of cue,white
81195,"Flash not very bright, introducing copper for a bit",modicum
123957,We murmur a short reply,humans
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude
53033,Said to be the story's end,tail
84810,"Taffy's home - right, left and roundabout",landofmyfathers
46118,Racket's centre starts to buckle under bombardment,hubbub
100731,Close to last time food warnings ensue,threats
53604,Dramatic confidence?,stagewhisper
14106,"Not wanted at the feast, best left in the cupboard",skeleton
137650,Model receiving complaint to consider retiring after hostilities ended,postbellum
131463,Badger resorted to exit by road,streetdoor
40206,American small change being found in school is dodgy,suspect
10926,Act as an agitator and get jail,stir
76832,To compensate for one short day is to take heart from another,satisfy
77279,Crazy over North American icon,madonna
104766,Spike has doll that is missing,barb
85039,"Each one opening, under no circumstances remaining open",uncover
132678,East European city where two vessels turned up,krakow
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse
10979,Check demand for material,damask
141319,Radioactive element in preservative for good health,salut
14311,Plant with a sting stuck in the chimney,laburnum
89803,Mobster's joint is cover for card operation,scarface
6110,Close check,stop
120047,"C, half-cut Bush, for example, gatecrashing his party?",cameron
40179,Peculiar game,rummy
105648,City state ground out small business,cottageindustry
31190,Prince not getting up for the dance,charleston
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster
36078,"Soldier's gear, which stays at home",tinhat
25486,Violinist's private room,bower
14982,Boy-meets-girl opera,leonora
38536,Getting through to farms about ground that's always frozen,permafrost
93127,Prima donna gets a quid for appearing in lights,divali
34853,He designed a water container,adam
47492,Retired Scotsman's trick,scam
67110,"An abstract point, to be exact",precise
112609,Sleep until noon (twelve),dozen
120758,Snowman? College erected it,inuit
6072,Bottom of league in Cheshire and East Lancashire?,cheese
140892,Setter's upset over good answers to puzzles,enigmas
57863,Carry on in summary fashion,resume
84465,Eat away without starting to bring back,etch
96014,Sharp stone for the remaining persons,alltherest
56976,European in next cell tortured in capital,excellent
121312,Hole number dealing with bad habit,crevice
61605,"Bulbs shining, these charged",onions
50761,"Telephone bell starting off, but not so loud",lower
108513,Its partition was booked,redsea
5366,Boss lost in dust storm,stud
132928,"Beacons required to follow this, if range is to be obtained",brecon
119078,"Time off, stuff punctuated by irregular pay",gapyear
93033,Record claiming uranium is brownish-grey,taupe
88134,Wolf circling eastern Galloway?,george
58772,"Hundreds pocketed by accountants, the rotters!",cads
100257,Help fool individual with attitude,assistance
109072,Something dentist may have to do with lineage,extraction
123726,Vegetable essence,marrow
1030,Iberian prince angered in revolt,grandee
87361,Heartless Shakespeare heroine keeping beret for a head,percapita
70181,Peculiar issue more likely than not,oddson
93892,Solid grasp of company case?,firmgrip
116622,Ruled measure government introduced must be reversed,reigned
28384,"I am the cat among dairy produce, going to overlap?",imbricate
64671,I throw my weight around the angel,islington
21476,"Engaged, that's the outcome about me and a girl",enmeshed
8968,What's got out of bed?,rose
122484,Head of state with guns to tame rioting,maotsetung
19964,Honour given to boy king ...,oberon
116450,Inexperience wears off: name gained success finally,rawness
10829,Religious house is too much for this priest,abbe
1697,"Like mistletoe, it is a hit when put up, caught underneath",parasitic
128290,Tough solidity for road transport crossing a bit of rail track,burliness
31476,Artist in car skirting ancient city,seurat
58634,Praise the boot rejected by lieutenant,exalt
114956,"Exciting book, ""The Musician's Aide""",pageturner
40505,Ass in America leading to American kerfuffle,rumpus
33947,Law suit finally disposed of - for a figure,statue
74212,"What maintenance staff should do at points, etc",checkrails
36567,PM essentially disappointed England,eden
3319,"Blue died, a bit of an act",obscene
103221,One seen in a hanging basket?,balloonist
9207,Sat Latin translation in a lost realm of fancy,atlantis
40287,Laciest piece in the sewing box? That's stretching it!,elastic
36592,Male child consumes duck quickly,soon
34241,One's captivated by star-shaped feature of fluted column,stria
134763,Male children's book character heard singing in church?,hymnody
61642,Badly treated and is unserviceable in the sea,misused
118902,Tabloid pictures which closely resemble one another,mirrorimages
83799,Vehicles boy goes in are always late,cadavers
28350,Best food Mike's brother found in the continent,ambrosia
9249,First of Walter Mitty's turns: provide defence and make me conform,twistmyarm
37285,Like supporter at home holding a kind of sign inside boundary,infavour
20073,"One in dock, employed by a county council",accused
38183,Monster fish,troll
79225,No bunker could be perfectly even,unbroken
11951,What Italians drink in the Mestre: Galliano,strega
84068,Contrary commercial jingle,adverse
103255,Anxiety about hair stops you sleeping,alarmclock
86453,Crossover door,rood
25043,Australian one needing invigorating air,ozone
29221,"Poet's dawn air ""threaded with gold""",aurora
84783,Sent us out at the end of the day,sunset
90023,Live at home after a short break as an artist,holbein
38309,"Very French attempt to seduce is wrong, legally",trespass
100999,Dessert like jelly seen around the globe,sorbet
41551,Report to do with extremity,retail
138851,"Only a proportion taken from income, a tax evaded is a dangerous thing",meataxe
40401,Town's ancient guy who must have been out of the ark,oldham
22379,Old king failing to make the grade,edgar
18838,Danger for sailors in popular music,rock
198,Fend off leader of pirates in film,repel
86393,Tick Kennedy's heart's condition,jiff
17359,Student caught with a dictionary,coed
106492,"Alas, old Bob Dylan cut short touring",sadly
38797,English general accepts tax raise,elevate
130471,"Raw food cursed, it needing to be cooked",crudites
14827,Battle later developed into chase,waterloo
121362,Pet with pal struggling over a tree,catalpa
101788,West Indian play groups,steelbands
77301,Gets the dog and looks around,secures
13695,Grim prospect for yachtsman trying to catch rival,stern
123072,"Bird back after season abroad, man's problem afoot?",fallenarches
26686,Knock run off spin bowler,elbow
27162,Books for more than one opera,libretti
129375,Resident superpower stuffing herb in meat product,liversausage
135945,Tubes bringing a form of medication to stop decay,capillaries
111629,Criminals returning so as to be split in opposing,cosanostra
71373,Loved to see the dreadnought wrecked,adored
91232,"Power governs tube centrally - US tube, that is",subway
7600,Left holding baby after this,labour
26262,Finally gives woman liquid nitrogen to make frozen sculpture,snowman
59714,She provides father with cooked meal,pamela
82252,Bit of a gut for Goon (pronounced),caecum
10326,Lousiest material editor's chucked out,worst
120766,President strangely agin dancing,polkaing
129534,"Try, as arranged, one caught being excessively lustful",satyric
8270,Safe place to let out the clutch?,nest
85449,Musicians send naughty messages to alien,sextet
111244,Toxic soup I soon blended,poisonous
52928,Regulated state - alternative to Red Revolution?,order
82539,"Rep's car goes off, making a hasty departure",scarper
91286,"North African halves a number, then doubles it",berber
32282,Asian city is unfinished - that's symbolic,mandala
85069,First class return to Southern Pacific country,australia
84492,Quarryman's key picked up,miner
105900,Not a street where things happen,venue
85059,"Understands about grinding lens with cunning, but without reason",senselessly
131897,He takes obstacles in his stride,hurdler
110739,Poet (Her Majesty's jester) in banjo performance,sirjohnbetjeman
133661,Setting about ’eadgear to protect aviator,flyingat
39535,Devil's tie?,deuce
53980,Setting maybe at Watford Gap?,milieu
118322,"Cajole alien, within reason",getround
100802,Footwear hamper,clog
7751,One's brief trade with a Mediterranean isle,ibiza
14203,Cleaner copies including past papers,coldcream
74224,Worry about horse slaughter,carnage
64869,"Tender, relatively speaking",sister
35660,Stop some French potatoes,deter
63748,Mums and dads are not welcomed by attendant,parentage
93074,Hotlines to the Met Office,isotherms
32854,"Stipulation for and against one's opinion, at first",proviso
66402,Governor that entertained PM once,north
109400,October's brief time for playing with ritualistic symbolism,totemic
101513,A crop is knocked flat,prosaic
85628,A hem one should repair: everyone knows that,householdname
17537,Run one of the film crowd,extra
134372,"Initially, Gilbert holds back blows",wafts
53279,"Drink triple gin, initially, with one rum",eggnog
133634,Entrenched bridge adversaries scrap over inches,enshrined
114251,Non-interventionist passes away,handsoff
21379,Fast on the Italian pulse,lentil
54062,Signified by inserting negative in Act,denoted
59956,Crazy bit by Len's father needs re-writing,batsinthebelfry
28030,"Doctor, one breaking smart fellow's chemistry apparatus",alembic
123097,"It's unhealthily damp but not too confined, as they say",rheumy
22581,Water drowned second biblical brother,esau
88237,"Unfaithful wife seen in food shop, note",delilah
109206,The Guardian starts to assess Roman government under Severus,argus
32865,Excited by a small bet,aflutter
11501,What Cupid bears audibly for lover,beau
111818,One comes across despondency behind the game,humpbackbridge
109262,One article by Belgian author,ianfleming
37300,A contribution to please lively art supporter,easel
46284,A small drink including minimum of table wine for starters,antipasti
95550,Failing to disrupt the indolence,onthedecline
93561,"Abroad, I start to eat angel cakes for tea",darjeeling
93618,Red-hot stuff,cayenne
124771,"Odd characters in the land of Schiller, the elegist?",gray
141286,Work units heard of in Holland,joules
23791,Question One is on Irish force seen in the Middle East,iraqi
80430,Allows to go free the wrong way round shops,outlets
129083,Explain about what keeps a wheel on,axlepin
92531,Exercise about to strengthen soldiers' disposition,placement
90108,Build new Northern capital,dublin
22983,Surgeon given sixpence outside the theatre,trepanner
107908,Dislike Greece?,hellas
23025,Cowherd's pie and broth,chowder
121769,Yellow streak will put celebrity status out of order in time,dastardy
56894,Drunken Scottish soldiers vote for abuse to the optically challenged,foureyes
49010,Relative gives away article free,untie
29573,The kind of Constable that's out of the ordinary,special
12794,Pitfall for member when rising,trap
140402,"Almost stop working, stupid",goof
123938,Special quality that's needed by female member of cast,xfactor
56836,Dives with power to crap - occasionally gull slightly worried tour leader,plutocrat
90612,Compellingly kind,obliging
24314,Fancy a chart-topping single,imagine
134583,Leading pairs eliminated from race came late - very grave situation,cemetery
40818,Entertained everyone sitting initially in the pit,hades
93780,"Bill wears Sikh wedding rings, hard in a Muslim land",bangladesh
48911,"Deceived by the devil, though not in so many words",implied
8693,"Five earth-filled urinals, recycling all-inclusive",universal
573,"Faithful, but getting new man into bed",constant
123424,People of intelligence love to have the last word,ciao
23967,It's probably not steam and possibly not electric,oldiron
107975,Bags of vicious cruelties,reticules
60725,Traffic hazard could be sinister,bend
61555,"Say: ""Don't stop her entering ring or pillar?""",letterbox
59692,A sort able to produce old instrument,astrolabe
119780,Label report of familiar ex-captain,gucci
63370,"A show-off, the bounder",prancer
29427,"Home Secretary and rock'n'roll guitarist: one's barren, another's wild",strawberry
63299,"Lacking respect, notwithstanding",regardless
43832,About to pick up Boris's book,rebecca
82165,Drunken expat in public house has a nagging wife,xanthippe
18596,"Sailor, for example, said to observe traveller",seafarer
134677,Writer's sweet Breton confection,charlottebronte
71414,"Exhortation to study ""The Maid of the Mountain""",oread
51311,"Eat half of plate, then drink",digin
34678,To have one return a casual hug is sufficient,enough
83450,Spirit of revolutionary beasts? Extremely serious!,spunkiness
60190,Earwig could make part of house fall down,eavesdrop
111345,"Sanction a run in souped-up car, a small one for racing",gokart
10902,Cheap accommodation always in part of journey,steerage
86446,Escorts backing The One Show,gigolos
